item_id,Scope - Electrics,unit_price_hardware,unit_price_service,unit_price_sum,Opt.,qty,unit,total_price,comments,E,K,O,,,,,item_id_norm,Scope - Electrics_norm,Opt._norm,unit_norm,comments_norm,E_norm,K_norm,O_norm,nan_norm,scope_category,vendor_id
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,B
1.,,,,,,,,,,,,,,,,,1.,,,,,,,,,Electrics,B
1.1,Complete standardised power feed-in cabinet for conveyors (+H011_FT),0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.1,complete standardised power feed-in cabinet for conveyors (+h011_ft),,pcs.,,,,,,Electrics,B
1.2,Complete standardised PLC-cabinet for conveyors (+H101),0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.2,complete standardised plc-cabinet for conveyors (+h101),,pcs.,,,,,,Electrics,B
1.3,Cooling device for door of control cabinet,0.0,0.0,0.0,,4.0,pcs.,0.0,,,,,,,,,1.3,cooling device for door of control cabinet,,pcs.,,,,,,Electrics,B
1.4,Power supply cabling incl. measurement protocol,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.4,power supply cabling incl. measurement protocol,,pcs.,,,,,,Electrics,B
1.5,HTS_; decentral drive cabinet (+H121),0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.5,hts_; decentral drive cabinet (+h121),,pcs.,,,,,,Electrics,B
1.6,Transformer 480V to 400V + Disconnect,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.6,transformer 480v to 400v + disconnect,,pcs.,,,,,,Electrics,B
1.7,"Control cabinet 600 x 2000 x 500, 
empty cabinet with basic equipment",0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.7,"control cabinet 600 x 2000 x 500, 
empty cabinet with basic equipment",,pcs.,,,,,,Electrics,B
1.8,BR_; Unit control panel with VISU,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.8,br_; unit control panel with visu,,pcs.,,,,,,Electrics,B
1.9,BS_; unit control station with display,0.0,0.0,0.0,,4.0,pcs.,0.0,,,,,,,,,1.9,bs_; unit control station with display,,pcs.,,,,,,Electrics,B
1.10,Additional visualization image,0.0,0.0,0.0,,8.0,pcs.,0.0,,,,,,,,,1.10,additional visualization image,,pcs.,,,,,,Electrics,B
1.11,BAH; Operation stop with external visualization (blue),0.0,0.0,0.0,,4.0,pcs.,0.0,,,,,,,,,1.11,bah; operation stop with external visualization (blue),,pcs.,,,,,,Electrics,B
1.12,Departure control at end of line,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.12,departure control at end of line,,pcs.,,,,,,Electrics,B
1.13,Flashlight,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.13,flashlight,,pcs.,,,,,,Electrics,B
1.14,External indication red/green,0.0,0.0,0.0,,6.0,pcs.,0.0,,,,,,,,,1.14,external indication red/green,,pcs.,,,,,,Electrics,B
1.15,Beacon light,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.15,beacon light,,pcs.,,,,,,Electrics,B
1.16,Signal horn,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.16,signal horn,,pcs.,,,,,,Electrics,B
1.17,WAS; maintenance switch,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.17,was; maintenance switch,,pcs.,,,,,,Electrics,B
1.18,Laser scanner area protection,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.18,laser scanner area protection,,pcs.,,,,,,Electrics,B
1.19,Light curtain + muting,0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.19,light curtain + muting,,pcs.,,,,,,Electrics,B
1.20,E-Stop standard,0.0,0.0,0.0,,12.0,pcs.,0.0,,,,,,,,,1.20,e-stop standard,,pcs.,,,,,,Electrics,B
1.21,PK_; hinged tailgate with light curtain,0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.21,pk_; hinged tailgate with light curtain,,pcs.,,,,,,Electrics,B
1.22,STU; safety door with panel,0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.22,stu; safety door with panel,,pcs.,,,,,,Electrics,B
1.23,EV_; locking via PN/PN coupler (with coupler),0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.23,ev_; locking via pn/pn coupler (with coupler),,pcs.,,,,,,Electrics,B
1.24,Interface to PLUS / middleware,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.24,interface to plus / middleware,,pcs.,,,,,,Electrics,B
1.25,Interface to control room,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.25,interface to control room,,pcs.,,,,,,Electrics,B
1.26,Additional functions,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.26,additional functions,,pcs.,,,,,,Electrics,B
1.27,Data driven tracking,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.27,data driven tracking,,pcs.,,,,,,Electrics,B
1.28,ZA; counting with automatic comparison,0.0,0.0,0.0,,3.0,pcs.,0.0,,,,,,,,,1.28,za; counting with automatic comparison,,pcs.,,,,,,Electrics,B
1.29,ZA; counting (hardware),0.0,0.0,0.0,,3.0,pcs.,,,,,,,,,,1.29,za; counting (hardware),,pcs.,,,,,,Electrics,B
1.30,HE; lifter _S with absolute encoder,0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.30,he; lifter _s with absolute encoder,,pcs.,,,,,,Electrics,B
1.31,HE_; decentralized lift cabinet (+H121),0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.31,he_; decentralized lift cabinet (+h121),,pcs.,,,,,,Electrics,B
1.32,HER; roller conveyor on lifter 2R2G,0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.32,her; roller conveyor on lifter 2r2g,,pcs.,,,,,,Electrics,B
1.33,QF; cross conveyor 2R1G,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.33,qf; cross conveyor 2r1g,,pcs.,,,,,,Electrics,B
1.34,RF; roller bed conveyor 2R2G,0.0,0.0,0.0,,9.0,pcs.,0.0,,,,,,,,,1.34,rf; roller bed conveyor 2r2g,,pcs.,,,,,,Electrics,B
1.35,HTS; Motorized scissor lift table 2S with belt,0.0,0.0,0.0,,1.0,pcs.,0.0,,,,,,,,,1.35,hts; motorized scissor lift table 2s with belt,,pcs.,,,,,,Electrics,B
1.36,"HTM; Motorized 2S lifting table with HTR, lifting table roller conveyor",0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.36,"htm; motorized 2s lifting table with htr, lifting table roller conveyor",,pcs.,,,,,,Electrics,B
1.37,1set Vibration Sensors LUMP SUM Mechanic/Electric,0.0,0.0,0.0,,2.0,pcs.,0.0,,,,,,,,,1.37,1set vibration sensors lump sum mechanic/electric,,pcs.,,,,,,Electrics,B
1.38,Electrical installation on-site total RfQ,0.0,0.0,0.0,,1.0,pcs.,0.0,Dismanteling Control Cabinets and Cable Trays,,,,,,,,1.38,electrical installation on-site total rfq,,pcs.,dismanteling control cabinets and cable trays,,,,,Electrics,B
,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
1.,Total Price:,,,,,,,0.0,,,,,,,,,1.,total price:,,,,,,,,Electrics,B
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,B
2.,,,,,,,,,,,,,,,,,2.,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,B
2.,"Total Price: 
",,,,,,,0.0,,,,,,,,,2.,total price:,,,,,,,,Electrics,B
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,B
3.,,,,,,,,,,,,,,,,,3.,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,B
3.,"Total Price: 
",,,,,,,0.0,,,,,,,,,3.,total price:,,,,,,,,Electrics,B
,,,,,,,,,,,,,,,,,,,,,,,,,,Electrics,B
4.,,,,,,,,,,,,,,,,,4.,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,Electrics,B
