scope_category,vendor_a_sheet,vendor_b_sheet,vendor_a_idx,vendor_b_idx,method,confidence,score
Steelwork,Steelwork,Steelwork,1.0,1.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,2.0,2.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,3.0,3.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,4.0,4.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,5.0,5.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,6.0,6.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,7.0,7.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,8.0,8.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,9.0,9.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,10.0,10.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,11.0,11.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,12.0,12.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,13.0,13.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,14.0,14.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,16.0,16.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,21.0,21.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,23.0,23.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,28.0,28.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,30.0,30.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,35.0,35.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,37.0,37.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,42.0,42.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,45.0,45.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,46.0,46.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,47.0,47.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,48.0,48.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,49.0,49.0,ITEM_ID_EXACT,AUTO,100.0
Steelwork,Steelwork,Steelwork,0.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,15.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,17.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,18.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,19.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,20.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,22.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,24.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,25.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,26.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,27.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,29.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,31.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,32.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,33.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,34.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,36.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,38.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,39.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,40.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,41.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,43.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,44.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,50.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,51.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,52.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,53.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,54.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,55.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,56.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,57.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,58.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,59.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,60.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,61.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,62.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,63.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,64.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,65.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,66.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,67.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,68.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,69.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,70.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,71.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,72.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,73.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,74.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,75.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,76.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,77.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,78.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,79.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,80.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,81.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,82.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,83.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,84.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,85.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,86.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,87.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,88.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,89.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,90.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,91.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,92.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,93.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,94.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,95.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,96.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,97.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,98.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,99.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,100.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,101.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,102.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,103.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,104.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,105.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,106.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,107.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,108.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,109.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,110.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,111.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,112.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,113.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,114.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,115.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,116.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,117.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,118.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,119.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,120.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,121.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,122.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,123.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,124.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,125.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,126.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,127.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,128.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,129.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,130.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,131.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,132.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,133.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,134.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,135.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,136.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,137.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,138.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,139.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,140.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,141.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,142.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,143.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,144.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,145.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,146.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,147.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,148.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,149.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,150.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,151.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,152.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,153.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,154.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,155.0,,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,0.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,15.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,17.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,18.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,19.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,20.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,22.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,24.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,25.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,26.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,27.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,29.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,31.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,32.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,33.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,34.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,36.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,38.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,39.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,40.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,41.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,43.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,44.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,50.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,51.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,52.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,53.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,54.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,55.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,56.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,57.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,58.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,59.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,60.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,61.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,62.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,63.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,64.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,65.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,66.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,67.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,68.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,69.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,70.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,71.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,72.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,73.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,74.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,75.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,76.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,77.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,78.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,79.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,80.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,81.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,82.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,83.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,84.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,85.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,86.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,87.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,88.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,89.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,90.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,91.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,92.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,93.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,94.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,95.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,96.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,97.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,98.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,99.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,100.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,101.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,102.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,103.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,104.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,105.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,106.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,107.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,108.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,109.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,110.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,111.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,112.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,113.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,114.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,115.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,116.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,117.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,118.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,119.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,120.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,121.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,122.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,123.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,124.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,125.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,126.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,127.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,128.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,129.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,130.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,131.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,132.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,133.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,134.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,135.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,136.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,137.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,138.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,139.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,140.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,141.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,142.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,143.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,144.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,145.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,146.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,147.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,148.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,149.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,150.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,151.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,152.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,153.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,154.0,UNMATCHED,UNMATCHED,0.0
Steelwork,Steelwork,Steelwork,,155.0,UNMATCHED,UNMATCHED,0.0
Electrics,Electrics,Electrics,1.0,1.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,2.0,2.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,3.0,3.0,ITEM_ID_EXACT,AUTO,100.0
Electrics,Electrics,Electrics,4.0,4.0,ITEM_ID_EXACT,AUTO,100.0
